Date,HomeTeam,AwayTeam,Played Value H,Played Value A,Total Value H,Total Value A,Attack H,Midfield H,Defense H,Goalie H,Attack A,Midfield A,Defense A,Goalie A,Attack Count H,Midfield Count H,Defense Count H,Goalie Count H,Attack Count A,Midfield Count A,Defense Count A,Goalie Count A,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,H_1,H_2,H_3,H_4,H_5,H_6,H_7,H_8,H_9,H_10,H_11,A_1,A_2,A_3,A_4,A_5,A_6,A_7,A_8,A_9,A_10,A_11
2017-04-08,Middlesbrough,Burnley,,,,,,,,,,,,,,,,,,,,,0,0,D,0,0,D,M Atkinson,12,7,5,2,9,12,4,3,0,3,0,0,Víctor Valdés,Bernardo Espinosa,Daniel Ayala,Ben Gibson,Grant Leadbitter,Adam Clayton,Antonio Barragán,Stewart Downing,Adam Forshaw,Cristhian Stuani,Rudy Gestede,Tom Heaton,Matthew Lowton,Michael Keane,Ben Mee,Stephen Ward,Robbie Brady,Jeff Hendrick,Joey Barton,George Boyd,Andre Gray,Ashley Barnes
2017-04-08,Stoke City,Liverpool,,,,,,,,,,,,,,,,,,,,,1,2,A,1,0,H,M Dean,9,14,4,4,7,11,5,8,0,2,0,0,Lee Grant,Erik Pieters,Glen Johnson,Bruno Martins Indi,Ryan Shawcross,Joe Allen,Marko Arnautovic,Geoff Cameron,Xherdan Shaqiri,Saido Berahino,Jonathan Walters,Simon Mignolet,Dejan Lovren,Ragnar Klavan,Joel Matip,Trent Alexander-Arnold,Nathaniel Clyne,Georginio Wijnaldum,James Milner,Emre Can,Divock Origi,Ben Woodburn
2017-04-08,Tottenham Hotspur,Watford,,,,,,,,,,,,,,,,,,,,,4,0,H,3,0,H,A Taylor,19,8,6,2,12,12,7,5,0,1,0,0,Hugo Lloris,Kieran Trippier,Toby Alderweireld,Jan Vertonghen,Ben Davies,Son Heung-Min,Eric Dier,Mousa Dembélé,Dele Alli,Christian Eriksen,Vincent Janssen,Heurelho Gomes,Daryl Janmaat,Adrian Mariappa,Craig Cathcart,José Holebas,Nordin Amrabat,Tom Cleverley,Isaac Success,Abdoulaye Doucouré,M'Baye Niang,Stefano Okaka
2017-04-08,West Bromwich Albion,Southampton,,,,,,,,,,,,,,,,,,,,,0,1,A,0,1,A,C Kavanagh,17,10,6,3,12,12,7,3,2,2,0,0,Ben Foster,Allan-Roméo Nyom,Jonny Evans,Gareth McAuley,Craig Dawson,James Morrison,Jake Livermore,Matt Phillips,Nacer Chadli,Darren Fletcher,Salomón Rondón,Fraser Forster,Cédric Soares,Maya Yoshida,Ryan Bertrand,Jack Stephens,Jordy Clasie,James Ward-Prowse,Dusan Tadic,Nathan Redmond,Pierre-Emile Højbjerg,Shane Long
2017-04-08,West Ham United,Swansea City,,,,,,,,,,,,,,,,,,,,,1,0,H,1,0,H,K Friend,14,4,6,1,12,12,4,3,5,1,0,0,Darren Randolph,José Fonte,James Collins,Sam Byram,Arthur Masuaku,Cheikhou Kouyaté,Robert Snodgrass,Mark Noble,Manuel Lanzini,André Ayew,Michail Antonio,Lukasz Fabianski,Martin Olsson,Federico Fernández,Alfie Mawson,Kyle Naughton,Leroy Fer,Tom Carroll,Jack Cork,Wayne Routledge,Jordan Ayew,Gylfi Sigurdsson
2017-04-09,Everton,Leicester City,,,,,,,,,,,,,,,,,,,,,4,2,H,3,2,H,R Madley,12,6,7,4,8,15,4,6,2,2,0,0,Joel Robles,Leighton Baines,Phil Jagielka,Mason Holgate,Matthew Pennington,Idrissa Gueye,Morgan Schneiderlin,Tom Davies,Ross Barkley,Romelu Lukaku,Kevin Mirallas,Kasper Schmeichel,Ben Chilwell,Robert Huth,Daniel Amartey,Yohan Benalouane,Danny Drinkwater,Demarai Gray,Andy King,Marc Albrighton,Jamie Vardy,Islam Slimani
2017-04-09,Sunderland,Manchester United,,,,,,,,,,,,,,,,,,,,,0,3,A,0,1,A,C Pawson,9,18,4,9,14,20,4,5,1,5,1,0,Jordan Pickford,Billy Jones,Bryan Oviedo,Jason Denayer,Lamine Koné,Lee Cattermole,Sebastian Larsson,Jack Rodwell,Didier Ndong,Jermain Defoe,Victor Anichebe,Sergio Romero,Eric Bailly,Marcos Rojo,Luke Shaw,Matteo Darmian,Paul Pogba,Ander Herrera,Marouane Fellaini,Zlatan Ibrahimovic,Jesse Lingard,Henrikh Mkhitaryan
2017-04-10,Crystal Palace,Arsenal,,,,,,,,,,,,,,,,,,,,,3,0,H,1,0,H,M Oliver,17,11,6,3,11,10,5,8,0,1,0,0,Wayne Hennessey,Joel Ward,Mamadou Sakho,Jeffrey Schlupp,Martin Kelly,Luka Milivojevic,Yohan Cabaye,Andros Townsend,Wilfried Zaha,Jason Puncheon,Christian Benteke,Emiliano Martínez,Héctor Bellerín,Gabriel Paulista,Nacho Monreal,Shkodran Mustafi,Mohamed Elneny,Alexis Sánchez,Mesut Özil,Theo Walcott,Granit Xhaka,Danny Welbeck
2017-04-15,Crystal Palace,Leicester City,,,,,,,,,,,,,,,,,,,,,2,2,D,0,1,A,M Dean,15,6,4,2,10,16,8,5,0,2,0,0,Wayne Hennessey,Joel Ward,Mamadou Sakho,Jeffrey Schlupp,Martin Kelly,Luka Milivojevic,Yohan Cabaye,Andros Townsend,Wilfried Zaha,Jason Puncheon,Christian Benteke,Kasper Schmeichel,Danny Simpson,Robert Huth,Christian Fuchs,Yohan Benalouane,Andy King,Marc Albrighton,Wilfred Ndidi,Riyad Mahrez,Jamie Vardy,Leonardo Ulloa
2017-04-15,Everton,Burnley,,,,,,,,,,,,,,,,,,,,,3,1,H,0,0,D,M Clattenburg,29,13,7,6,15,14,6,7,2,0,0,0,Joel Robles,Leighton Baines,Ashley Williams,Phil Jagielka,Mason Holgate,Idrissa Gueye,Morgan Schneiderlin,Tom Davies,Ross Barkley,Romelu Lukaku,Kevin Mirallas,Tom Heaton,Matthew Lowton,Michael Keane,Ben Mee,Stephen Ward,Robbie Brady,Jeff Hendrick,Joey Barton,George Boyd,Sam Vokes,Ashley Barnes
