Date,HomeTeam,AwayTeam,Played Value A,Total Value H,Total Value A,Attack H,Midfield H,Defense H,Goalie H,Attack A,Midfield A,Defense A,Goalie A,Attack Count H,Midfield Count H,Defense Count H,Goalie Count H,Attack Count A,Midfield Count A,Defense Count A,Goalie Count A,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,H_1,H_2,H_3,H_4,H_5,H_6,H_7,H_8,H_9,H_10,H_11,A_1,A_2,A_3,A_4,A_5,A_6,A_7,A_8,A_9,A_10,A_11
2018-11-10,Cardiff City,Brighton and Hove Albion,,,,,,,,,,,,,,,,,,,,2,1,H,1,1,D,M Atkinson,20,7,6,3,7,21,4,1,2,1,0,1,Neil Etheridge,Sean Morrison,Bruno Ecuele Manga,Greg Cunningham,Sol Bamba,Joe Ralls,Josh Murphy,Aron Gunnarsson,Víctor Camarasa,Kadeem Harris,Callum Paterson,Mat Ryan,Gaëtan Bong,Shane Duffy,Lewis Dunk,Martín Montoya,Dale Stephens,Beram Kayal,Anthony Knockaert,José Izquierdo,Glenn Murray,Solly March
2018-11-10,Crystal Palace,Tottenham Hotspur,,,,,,,,,,,,,,,,,,,,0,1,A,0,0,D,J Moss,11,11,4,2,12,9,10,6,1,1,0,0,Wayne Hennessey,Patrick van Aanholt,James Tomkins,Mamadou Sakho,Aaron Wan-Bissaka,Luka Milivojevic,Max Meyer,Cheikhou Kouyaté,James McArthur,Andros Townsend,Jordan Ayew,Hugo Lloris,Kieran Trippier,Toby Alderweireld,Juan Foyth,Ben Davies,Erik Lamela,Victor Wanyama,Moussa Sissoko,Dele Alli,Lucas Moura,Harry Kane
2018-11-10,Huddersfield Town,West Ham United,,,,,,,,,,,,,,,,,,,,1,1,D,1,0,H,C Kavanagh,15,12,7,5,9,8,5,6,1,1,0,0,Jonas Lössl,Terence Kongolo,Zanka,Christopher Schindler,Jonathan Hogg,Philip Billing,Aaron Mooy,Chris Löwe,Florent Hadergjonaj,Steve Mounie,Alex Pritchard,Lukasz Fabianski,Aaron Cresswell,Fabián Balbuena,Pablo Zabaleta,Issa Diop,Felipe Anderson,Robert Snodgrass,Pedro Obiang,Declan Rice,Grady Diangana,Marko Arnautovic
2018-11-10,Leicester City,Burnley,,,,,,,,,,,,,,,,,,,,0,0,D,0,0,D,M Dean,22,6,5,1,13,10,12,1,2,0,0,0,Kasper Schmeichel,Ben Chilwell,Wes Morgan,Jonny Evans,Ricardo Pereira,Demarai Gray,Marc Albrighton,Nampalys Mendy,Wilfred Ndidi,Rachid Ghezzal,Jamie Vardy,Joe Hart,Matthew Lowton,Charlie Taylor,Ben Mee,Kevin Long,Jack Cork,Jóhann Gudmundsson,Steven Defour,Aaron Lennon,Chris Wood,Sam Vokes
2018-11-10,Newcastle United,AFC Bournemouth,,,,,,,,,,,,,,,,,,,,2,1,H,2,1,H,L Probert,18,14,6,4,9,11,7,10,2,1,0,0,Martin Dubravka,Paul Dummett,Fabian Schär,Federico Fernández,DeAndre Yedlin,Ki Sung-Yueng,Mohamed Diamé,Matt Ritchie,Kenedy,Salomón Rondón,Ayoze Pérez,Asmir Begovic,Simon Francis,Steve Cook,Nathan Aké,Adam Smith,Jefferson Lerma,Jordon Ibe,Lewis Cook,Ryan Fraser,David Brooks,Callum Wilson
2018-11-10,Southampton,Watford,,,,,,,,,,,,,,,,,,,,1,1,D,1,0,H,S Hooper,14,12,4,6,13,13,7,6,3,2,0,0,Alex McCarthy,Cédric Soares,Maya Yoshida,Wesley Hoedt,Ryan Bertrand,Nathan Redmond,Stuart Armstrong,Mario Lemina,Manolo Gabbiadini,Pierre-Emile Højbjerg,Danny Ings,Ben Foster,Adrian Mariappa,Craig Cathcart,Kiko Femenía,José Holebas,Nathaniel Chalobah,Abdoulaye Doucouré,Will Hughes,Roberto Pereyra,Gerard Deulofeu,Isaac Success
2018-11-11,Arsenal,Wolverhampton Wanderers,,,,,,,,,,,,,,,,,,,,1,1,D,0,1,A,S Attwell,10,12,3,5,9,16,11,2,2,2,0,0,Bernd Leno,Héctor Bellerín,Rob Holding,Shkodran Mustafi,Sead Kolasinac,Mesut Özil,Lucas Torreira,Pierre-Emerick Aubameyang,Alex Iwobi,Granit Xhaka,Alexandre Lacazette,Rui Patrício,Ryan Bennett,Willy Boly,Conor Coady,Matt Doherty,Rúben Neves,Jonny,João Moutinho,Ivan Cavaleiro,Raúl Jiménez,Hélder Costa
2018-11-11,Chelsea,Everton,,,,,,,,,,,,,,,,,,,,0,0,D,0,0,D,K Friend,15,6,4,1,7,11,5,5,4,3,0,0,Kepa Arrizabalaga,Antonio Rüdiger,Marcos Alonso,César Azpilicueta,David Luiz,Jorginho,N'Golo Kanté,Mateo Kovacic,Willian,Eden Hazard,Álvaro Morata,Jordan Pickford,Michael Keane,Lucas Digne,Yerry Mina,Séamus Coleman,André Gomes,Gylfi Sigurdsson,Theo Walcott,Idrissa Gueye,Bernard,Richarlison
2018-11-11,Liverpool,Fulham,,,,,,,,,,,,,,,,,,,,2,0,H,1,0,H,P Tierney,20,8,7,3,11,9,6,3,1,1,0,0,Alisson,Virgil van Dijk,Joseph Gomez,Andrew Robertson,Trent Alexander-Arnold,Fabinho,Georginio Wijnaldum,Roberto Firmino,Sadio Mané,Xherdan Shaqiri,Mohamed Salah,Sergio Rico,Denis Odoi,Alfie Mawson,Maxime Le Marchand,Cyrus Christie,Ryan Sessegnon,Calum Chambers,Tom Cairney,André Schürrle,André-Frank Zambo Anguissa,Aleksandar Mitrovic
2018-11-11,Manchester City,Manchester United,,,,,,,,,,,,,,,,,,,,3,1,H,1,0,H,A Taylor,17,6,5,1,12,12,5,1,1,1,0,0,Ederson,Kyle Walker,John Stones,Aymeric Laporte,Benjamin Mendy,Bernardo Silva,David Silva,Fernandinho,Raheem Sterling,Sergio Agüero,Riyad Mahrez,David de Gea,Victor Lindelöf,Chris Smalling,Ashley Young,Luke Shaw,Ander Herrera,Marouane Fellaini,Nemanja Matic,Anthony Martial,Marcus Rashford,Jesse Lingard
