Date,HomeTeam,AwayTeam,Played Value A,Total Value H,Total Value A,Attack H,Midfield H,Defense H,Goalie H,Attack A,Midfield A,Defense A,Goalie A,Attack Count H,Midfield Count H,Defense Count H,Goalie Count H,Attack Count A,Midfield Count A,Defense Count A,Goalie Count A,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,H_1,H_2,H_3,H_4,H_5,H_6,H_7,H_8,H_9,H_10,H_11,A_1,A_2,A_3,A_4,A_5,A_6,A_7,A_8,A_9,A_10,A_11
2018-12-16,Southampton,Arsenal,,,,,,,,,,,,,,,,,,,,3,2,H,2,1,H,C Kavanagh,12,13,7,4,12,10,4,5,3,1,0,0,Alex McCarthy,Maya Yoshida,Jannik Vestergaard,Jan Bednarek,Oriol Romeu,Yan Valery,Pierre-Emile Højbjerg,Matt Targett,Danny Ings,Nathan Redmond,Stuart Armstrong,Bernd Leno,Laurent Koscielny,Stephan Lichtsteiner,Granit Xhaka,Héctor Bellerín,Lucas Torreira,Nacho Monreal,Matteo Guendouzi,Henrikh Mkhitaryan,Pierre-Emerick Aubameyang,Alex Iwobi
2018-12-21,Wolverhampton Wanderers,Liverpool,,,,,,,,,,,,,,,,,,,,0,2,A,0,1,A,C Pawson,11,15,5,6,7,3,1,10,0,0,0,0,Rui Patrício,Ryan Bennett,Willy Boly,Conor Coady,Matt Doherty,Rúben Neves,Jonny,Romain Saïss,Raúl Jiménez,João Moutinho,Adama Traoré,Alisson,Virgil van Dijk,Dejan Lovren,James Milner,Andrew Robertson,Fabinho,Naby Keita,Roberto Firmino,Sadio Mané,Jordan Henderson,Mohamed Salah
2018-12-22,Arsenal,Burnley,,,,,,,,,,,,,,,,,,,,3,1,H,1,0,H,K Friend,10,7,6,2,10,14,1,3,2,5,0,0,Bernd Leno,Sokratis,Ainsley Maitland-Niles,Nacho Monreal,Sead Kolasinac,Mohamed Elneny,Mesut Özil,Matteo Guendouzi,Granit Xhaka,Alexandre Lacazette,Pierre-Emerick Aubameyang,Joe Hart,Charlie Taylor,James Tarkowski,Ben Mee,Phil Bardsley,Kevin Long,Jack Cork,Jeff Hendrick,Ashley Westwood,Chris Wood,Ashley Barnes
2018-12-22,AFC Bournemouth,Brighton and Hove Albion,,,,,,,,,,,,,,,,,,,,2,0,H,1,0,H,M Dean,14,10,3,5,8,18,6,5,2,0,0,1,Asmir Begovic,Simon Francis,Steve Cook,Nathan Aké,Charlie Daniels,Andrew Surman,David Brooks,Jefferson Lerma,Junior Stanislas,Callum Wilson,Joshua King,Mat Ryan,Lewis Dunk,Leon Balogun,Martín Montoya,Bernardo,Yves Bissouma,Jürgen Locadia,Pascal Groß,Solly March,Davy Pröpper,Florin Andone
2018-12-22,Cardiff City,Manchester United,,,,,,,,,,,,,,,,,,,,1,5,A,1,3,A,M Oliver,9,17,3,9,13,13,4,7,2,1,0,0,Neil Etheridge,Sean Morrison,Bruno Ecuele Manga,Greg Cunningham,Sol Bamba,Harry Arter,Josh Murphy,Aron Gunnarsson,Víctor Camarasa,David Junior Hoilett,Callum Paterson,David de Gea,Victor Lindelöf,Phil Jones,Ashley Young,Luke Shaw,Paul Pogba,Ander Herrera,Nemanja Matic,Anthony Martial,Marcus Rashford,Jesse Lingard
2018-12-22,Chelsea,Leicester City,,,,,,,,,,,,,,,,,,,,0,1,A,0,0,D,L Probert,17,8,5,3,10,9,9,5,0,2,0,0,Kepa Arrizabalaga,Antonio Rüdiger,Marcos Alonso,César Azpilicueta,David Luiz,Jorginho,N'Golo Kanté,Mateo Kovacic,Eden Hazard,Willian,Pedro,Kasper Schmeichel,Ben Chilwell,Wes Morgan,Harry Maguire,Ricardo Pereira,Nampalys Mendy,Wilfred Ndidi,Hamza Choudhury,Jamie Vardy,James Maddison,Marc Albrighton
2018-12-22,Huddersfield Town,Southampton,,,,,,,,,,,,,,,,,,,,1,3,A,0,2,A,S Attwell,16,13,5,6,12,9,8,2,2,3,0,0,Jonas Lössl,Terence Kongolo,Zanka,Christopher Schindler,Juninho Bacuna,Philip Billing,Chris Löwe,Florent Hadergjonaj,Steve Mounie,Alex Pritchard,Isaac Mbenza,Alex McCarthy,Maya Yoshida,Jannik Vestergaard,Jan Bednarek,Oriol Romeu,Yan Valery,Pierre-Emile Højbjerg,Matt Targett,Danny Ings,Nathan Redmond,Stuart Armstrong
2018-12-22,Manchester City,Crystal Palace,,,,,,,,,,,,,,,,,,,,2,3,A,1,2,A,A Marriner,19,5,5,3,7,6,13,0,0,4,0,0,Ederson,Kyle Walker,Aymeric Laporte,Fabian Delph,Nicolás Otamendi,John Stones,Ilkay Gündogan,Bernardo Silva,Raheem Sterling,Gabriel Jesus,Leroy Sané,Vicente Guaita,Patrick van Aanholt,James Tomkins,Mamadou Sakho,Aaron Wan-Bissaka,Luka Milivojevic,Max Meyer,Andros Townsend,Jeffrey Schlupp,James McArthur,Wilfried Zaha
2018-12-22,Newcastle United,Fulham,,,,,,,,,,,,,,,,,,,,0,0,D,0,0,D,M Atkinson,9,4,0,2,9,12,6,0,1,2,0,0,Martin Dubravka,Paul Dummett,Fabian Schär,Jamaal Lascelles,Matt Ritchie,Javier Manquillo,Ki Sung-Yueng,Mohamed Diamé,Ayoze Pérez,Christian Atsu,Salomón Rondón,Sergio Rico,Denis Odoi,Alfie Mawson,Tim Ream,Calum Chambers,Cyrus Christie,Joe Bryan,Jean Michael Seri,Aleksandar Mitrovic,Tom Cairney,André Schürrle
2018-12-22,West Ham United,Watford,,,,,,,,,,,,,,,,,,,,0,2,A,0,1,A,L Mason,18,11,7,5,9,11,10,4,3,2,0,0,Lukasz Fabianski,Fabián Balbuena,Pablo Zabaleta,Issa Diop,Arthur Masuaku,Felipe Anderson,Robert Snodgrass,Mark Noble,Declan Rice,Chicharito,Michail Antonio,Ben Foster,Craig Cathcart,Kiko Femenía,José Holebas,Christian Kabasele,Ken Sema,Abdoulaye Doucouré,Etienne Capoue,Roberto Pereyra,Gerard Deulofeu,Troy Deeney
2018-12-23,Everton,Tottenham Hotspur,,,,,,,,,,,,,,,,,,,,2,6,A,1,3,A,P Tierney,10,17,3,8,13,9,2,1,0,2,0,0,Jordan Pickford,Michael Keane,Kurt Zouma,Lucas Digne,Séamus Coleman,Richarlison,André Gomes,Gylfi Sigurdsson,Theo Walcott,Tom Davies,Dominic Calvert-Lewin,Hugo Lloris,Kieran Trippier,Toby Alderweireld,Davinson Sánchez,Ben Davies,Harry Winks,Moussa Sissoko,Dele Alli,Christian Eriksen,Son Heung-Min,Harry Kane
2018-12-26,Brighton and Hove Albion,Arsenal,,,,,,,,,,,,,,,,,,,,1,1,D,1,1,D,A Taylor,12,7,3,4,10,4,4,9,2,1,0,0,Mat Ryan,Shane Duffy,Leon Balogun,Martín Montoya,Bernardo,Dale Stephens,Jürgen Locadia,Pascal Groß,Solly March,Davy Pröpper,Glenn Murray,Bernd Leno,Sokratis,Laurent Koscielny,Stephan Lichtsteiner,Sead Kolasinac,Mesut Özil,Lucas Torreira,Matteo Guendouzi,Granit Xhaka,Alexandre Lacazette,Pierre-Emerick Aubameyang
2018-12-26,Burnley,Everton,,,,,,,,,,,,,,,,,,,,1,5,A,1,3,A,M Oliver,11,13,4,6,11,19,5,7,2,4,0,0,Joe Hart,Matthew Lowton,Charlie Taylor,James Tarkowski,Ben Mee,Ben Gibson,Jack Cork,Jeff Hendrick,Ashley Westwood,Sam Vokes,Ashley Barnes,Jordan Pickford,Kurt Zouma,Michael Keane,Yerry Mina,André Gomes,Gylfi Sigurdsson,Lucas Digne,Séamus Coleman,Dominic Calvert-Lewin,Theo Walcott,Bernard
2018-12-26,Crystal Palace,Cardiff City,,,,,,,,,,,,,,,,,,,,0,0,D,0,0,D,L Probert,31,9,5,4,9,11,12,1,0,3,0,0,Vicente Guaita,Patrick van Aanholt,James Tomkins,Mamadou Sakho,Aaron Wan-Bissaka,Luka Milivojevic,Max Meyer,Cheikhou Kouyaté,James McArthur,Andros Townsend,Wilfried Zaha,Neil Etheridge,Lee Peltier,Joe Bennett,Sean Morrison,Bruno Ecuele Manga,Sol Bamba,Joe Ralls,Víctor Camarasa,Kadeem Harris,David Junior Hoilett,Bobby De Cordova-Reid
2018-12-26,Fulham,Wolverhampton Wanderers,,,,,,,,,,,,,,,,,,,,1,1,D,0,0,D,A Marriner,11,14,9,5,9,6,2,0,2,1,0,0,Sergio Rico,Denis Odoi,Alfie Mawson,Tim Ream,Calum Chambers,Cyrus Christie,Joe Bryan,Jean Michael Seri,Aleksandar Mitrovic,André Schürrle,Aboubakar Kamara,Rui Patrício,Ryan Bennett,Willy Boly,Conor Coady,Matt Doherty,Jonny,Romain Saïss,João Moutinho,Raúl Jiménez,Morgan Gibbs-White,Adama Traoré
2018-12-26,Leicester City,Manchester City,,,,,,,,,,,,,,,,,,,,2,1,H,1,1,D,M Dean,10,11,5,4,5,8,3,7,2,2,0,1,Kasper Schmeichel,Ben Chilwell,Wes Morgan,Harry Maguire,Ricardo Pereira,Nampalys Mendy,Wilfred Ndidi,Hamza Choudhury,Jamie Vardy,James Maddison,Marc Albrighton,Ederson,Danilo,John Stones,Aymeric Laporte,Fabian Delph,Ilkay Gündogan,Kevin De Bruyne,Bernardo Silva,Raheem Sterling,Sergio Agüero,Leroy Sané
2018-12-26,Liverpool,Newcastle United,,,,,,,,,,,,,,,,,,,,4,0,H,1,0,H,G Scott,16,6,8,2,7,9,10,2,0,0,0,0,Alisson,Virgil van Dijk,Dejan Lovren,Andrew Robertson,Trent Alexander-Arnold,Georginio Wijnaldum,Roberto Firmino,Sadio Mané,Jordan Henderson,Xherdan Shaqiri,Mohamed Salah,Martin Dubravka,Paul Dummett,Jamaal Lascelles,Matt Ritchie,Federico Fernández,DeAndre Yedlin,Mohamed Diamé,Isaac Hayden,Kenedy,Joselu,Yoshinori Muto
2018-12-26,Manchester United,Huddersfield Town,,,,,,,,,,,,,,,,,,,,3,1,H,1,0,H,J Moss,16,10,10,2,9,13,5,3,1,1,0,0,David de Gea,Victor Lindelöf,Phil Jones,Diogo Dalot,Luke Shaw,Paul Pogba,Juan Mata,Jesse Lingard,Fred,Nemanja Matic,Marcus Rashford,Jonas Lössl,Terence Kongolo,Zanka,Christopher Schindler,Erik Durm,Philip Billing,Elias Kachunga,Alex Pritchard,Isaac Mbenza,Florent Hadergjonaj,Laurent Depoitre
2018-12-26,Tottenham Hotspur,AFC Bournemouth,,,,,,,,,,,,,,,,,,,,5,0,H,3,0,H,C Kavanagh,10,14,7,4,4,8,3,4,2,1,0,0,Hugo Lloris,Danny Rose,Toby Alderweireld,Kyle Walker-Peters,Juan Foyth,Son Heung-Min,Harry Winks,Moussa Sissoko,Christian Eriksen,Lucas Moura,Harry Kane,Asmir Begovic,Simon Francis,Steve Cook,Nathan Aké,Charlie Daniels,Andrew Surman,David Brooks,Jefferson Lerma,Junior Stanislas,Ryan Fraser,Callum Wilson
2018-12-26,Watford,Chelsea,,,,,,,,,,,,,,,,,,,,1,2,A,1,1,D,M Atkinson,10,10,2,4,15,5,3,4,1,0,0,0,Ben Foster,Craig Cathcart,Kiko Femenía,José Holebas,Christian Kabasele,Ken Sema,Abdoulaye Doucouré,Etienne Capoue,Roberto Pereyra,Gerard Deulofeu,Troy Deeney,Kepa Arrizabalaga,Antonio Rüdiger,Marcos Alonso,César Azpilicueta,David Luiz,Jorginho,N'Golo Kanté,Mateo Kovacic,Eden Hazard,Willian,Pedro
2018-12-27,Southampton,West Ham United,,,,,,,,,,,,,,,,,,,,1,2,A,0,0,D,C Pawson,11,16,5,5,10,3,4,5,2,0,0,0,Alex McCarthy,Maya Yoshida,Jannik Vestergaard,Jan Bednarek,Oriol Romeu,Yan Valery,Mario Lemina,Matt Targett,Danny Ings,Nathan Redmond,Stuart Armstrong,Lukasz Fabianski,Aaron Cresswell,Angelo Ogbonna,Issa Diop,Michail Antonio,Felipe Anderson,Robert Snodgrass,Pedro Obiang,Declan Rice,Grady Diangana,Lucas Pérez
2018-12-29,Brighton and Hove Albion,Everton,,,,,,,,,,,,,,,,,,,,1,0,H,0,0,D,A Madley,11,13,3,4,10,11,6,6,0,2,0,0,David Button,Shane Duffy,Lewis Dunk,Martín Montoya,Bernardo,Dale Stephens,Jürgen Locadia,Pascal Groß,Solly March,Davy Pröpper,Florin Andone,Jordan Pickford,Michael Keane,Kurt Zouma,Yerry Mina,André Gomes,Lucas Digne,Idrissa Gueye,Séamus Coleman,Richarlison,Theo Walcott,Bernard
2018-12-29,Fulham,Huddersfield Town,,,,,,,,,,,,,,,,,,,,1,0,H,0,0,D,K Friend,14,9,5,5,12,10,4,3,3,1,0,0,Sergio Rico,Denis Odoi,Alfie Mawson,Tim Ream,Calum Chambers,Cyrus Christie,Joe Bryan,Jean Michael Seri,Aleksandar Mitrovic,Tom Cairney,Luciano Vietto,Jonas Lössl,Terence Kongolo,Zanka,Christopher Schindler,Jonathan Hogg,Philip Billing,Chris Löwe,Florent Hadergjonaj,Erik Durm,Steve Mounie,Alex Pritchard
2018-12-29,Leicester City,Cardiff City,,,,,,,,,,,,,,,,,,,,0,1,A,0,0,D,S Hooper,16,12,7,3,14,16,10,4,0,2,0,0,Kasper Schmeichel,Ben Chilwell,Çaglar Söyüncü,Harry Maguire,Ricardo Pereira,Demarai Gray,James Maddison,Marc Albrighton,Nampalys Mendy,Wilfred Ndidi,Jamie Vardy,Neil Etheridge,Sean Morrison,Bruno Ecuele Manga,Greg Cunningham,Sol Bamba,Harry Arter,Josh Murphy,Aron Gunnarsson,Víctor Camarasa,David Junior Hoilett,Callum Paterson
2018-12-29,Liverpool,Arsenal,,,,,,,,,,,,,,,,,,,,5,1,H,4,1,H,M Oliver,15,8,10,2,8,13,5,3,1,2,0,0,Alisson,Virgil van Dijk,Dejan Lovren,Andrew Robertson,Trent Alexander-Arnold,Fabinho,Georginio Wijnaldum,Roberto Firmino,Sadio Mané,Xherdan Shaqiri,Mohamed Salah,Bernd Leno,Sokratis,Stephan Lichtsteiner,Shkodran Mustafi,Sead Kolasinac,Aaron Ramsey,Lucas Torreira,Ainsley Maitland-Niles,Alex Iwobi,Granit Xhaka,Pierre-Emerick Aubameyang
2018-12-29,Tottenham Hotspur,Wolverhampton Wanderers,,,,,,,,,,,,,,,,,,,,1,3,A,1,0,H,S Attwell,10,11,3,4,7,7,6,7,3,2,0,0,Hugo Lloris,Kieran Trippier,Toby Alderweireld,Davinson Sánchez,Ben Davies,Harry Winks,Moussa Sissoko,Dele Alli,Christian Eriksen,Son Heung-Min,Harry Kane,Rui Patrício,Ryan Bennett,Willy Boly,Conor Coady,Matt Doherty,Rúben Neves,Jonny,Leander Dendoncker,Ivan Cavaleiro,Raúl Jiménez,Adama Traoré
2018-12-29,Watford,Newcastle United,,,,,,,,,,,,,,,,,,,,1,1,D,0,1,A,R East,12,8,5,2,17,16,3,6,1,2,0,0,Ben Foster,Daryl Janmaat,Adrian Mariappa,Adam Masina,Craig Cathcart,Will Hughes,Domingos Quina,Etienne Capoue,Roberto Pereyra,Gerard Deulofeu,Isaac Success,Martin Dubravka,Paul Dummett,Jamaal Lascelles,Matt Ritchie,Federico Fernández,DeAndre Yedlin,Mohamed Diamé,Isaac Hayden,Ayoze Pérez,Christian Atsu,Salomón Rondón
2018-12-30,Burnley,West Ham United,,,,,,,,,,,,,,,,,,,,2,0,H,2,0,H,D Coote,17,11,5,4,15,11,5,5,1,4,0,0,Tom Heaton,Charlie Taylor,James Tarkowski,Ben Mee,Phil Bardsley,Jack Cork,Jóhann Gudmundsson,Ashley Westwood,Dwight McNeil,Chris Wood,Ashley Barnes,Lukasz Fabianski,Aaron Cresswell,Angelo Ogbonna,Issa Diop,Michail Antonio,Felipe Anderson,Robert Snodgrass,Mark Noble,Declan Rice,Marko Arnautovic,Lucas Pérez
2018-12-30,Crystal Palace,Chelsea,,,,,,,,,,,,,,,,,,,,0,1,A,0,0,D,C Pawson,4,12,0,4,11,8,3,4,0,1,0,0,Vicente Guaita,Patrick van Aanholt,James Tomkins,Mamadou Sakho,Aaron Wan-Bissaka,Luka Milivojevic,Cheikhou Kouyaté,Andros Townsend,Jeffrey Schlupp,James McArthur,Wilfried Zaha,Kepa Arrizabalaga,Antonio Rüdiger,Marcos Alonso,César Azpilicueta,David Luiz,Jorginho,N'Golo Kanté,Ross Barkley,Willian,Eden Hazard,Olivier Giroud
2018-12-30,Manchester United,AFC Bournemouth,,,,,,,,,,,,,,,,,,,,4,1,H,3,1,H,L Mason,11,7,8,3,10,7,4,5,2,0,1,0,David de Gea,Victor Lindelöf,Eric Bailly,Ashley Young,Luke Shaw,Paul Pogba,Anthony Martial,Jesse Lingard,Ander Herrera,Nemanja Matic,Marcus Rashford,Asmir Begovic,Steve Cook,Nathan Aké,Charlie Daniels,Andrew Surman,David Brooks,Jordon Ibe,Junior Stanislas,Diego Rico,Callum Wilson,Joshua King
2018-12-30,Southampton,Manchester City,,,,,,,,,,,,,,,,,,,,1,3,A,1,3,A,P Tierney,5,14,4,6,11,10,3,8,2,3,1,0,Alex McCarthy,Jack Stephens,Kayne Ramsay,Matt Targett,Jan Bednarek,Oriol Romeu,James Ward-Prowse,Mohamed Elyounoussi,Mario Lemina,Pierre-Emile Højbjerg,Charlie Austin,Ederson,Danilo,Vincent Kompany,Oleksandr Zinchenko,Aymeric Laporte,Bernardo Silva,David Silva,Fernandinho,Raheem Sterling,Sergio Agüero,Riyad Mahrez
2019-01-01,Arsenal,Fulham,,,,,,,,,,,,,,,,,,,,4,1,H,1,0,H,G Scott,16,9,9,4,7,12,8,3,0,1,0,0,Bernd Leno,Sokratis,Laurent Koscielny,Shkodran Mustafi,Ainsley Maitland-Niles,Matteo Guendouzi,Sead Kolasinac,Granit Xhaka,Alexandre Lacazette,Pierre-Emerick Aubameyang,Alex Iwobi,Sergio Rico,Denis Odoi,Tim Ream,Maxime Le Marchand,Tom Cairney,Cyrus Christie,Joe Bryan,Ibrahima Cissé,Ryan Sessegnon,Aleksandar Mitrovic,André Schürrle
2019-01-01,Cardiff City,Tottenham Hotspur,,,,,,,,,,,,,,,,,,,,0,3,A,0,3,A,K Friend,6,13,3,4,6,6,5,3,1,0,0,0,Neil Etheridge,Sean Morrison,Bruno Ecuele Manga,Greg Cunningham,Sol Bamba,Harry Arter,Josh Murphy,Callum Paterson,Aron Gunnarsson,Víctor Camarasa,Bobby De Cordova-Reid,Hugo Lloris,Kieran Trippier,Danny Rose,Toby Alderweireld,Davinson Sánchez,Harry Winks,Moussa Sissoko,Dele Alli,Christian Eriksen,Son Heung-Min,Harry Kane
2019-01-01,Everton,Leicester City,,,,,,,,,,,,,,,,,,,,0,1,A,0,0,D,M Atkinson,17,8,2,4,5,8,6,5,3,1,0,0,Jordan Pickford,Kurt Zouma,Michael Keane,Lucas Digne,Jonjoe Kenny,Richarlison,André Gomes,Gylfi Sigurdsson,Theo Walcott,Idrissa Gueye,Dominic Calvert-Lewin,Kasper Schmeichel,Danny Simpson,Ben Chilwell,Jonny Evans,Harry Maguire,Nampalys Mendy,Wilfred Ndidi,Hamza Choudhury,Jamie Vardy,Ricardo Pereira,Rachid Ghezzal
2019-01-02,AFC Bournemouth,Watford,,,,,,,,,,,,,,,,,,,,3,3,D,3,3,D,D Coote,25,11,12,3,9,15,4,2,1,4,0,0,Asmir Begovic,Steve Cook,Nathan Aké,Charlie Daniels,Junior Stanislas,Dan Gosling,David Brooks,Jefferson Lerma,Ryan Fraser,Callum Wilson,Joshua King,Ben Foster,Adrian Mariappa,Craig Cathcart,Kiko Femenía,José Holebas,Ken Sema,Abdoulaye Doucouré,Etienne Capoue,Roberto Pereyra,Gerard Deulofeu,Troy Deeney
2019-01-02,Chelsea,Southampton,,,,,,,,,,,,,,,,,,,,0,0,D,0,0,D,J Moss,17,6,6,2,8,11,7,2,1,2,0,0,Kepa Arrizabalaga,Antonio Rüdiger,Marcos Alonso,César Azpilicueta,David Luiz,Jorginho,N'Golo Kanté,Ross Barkley,Willian,Eden Hazard,Álvaro Morata,Angus Gunn,Cédric Soares,Maya Yoshida,Jannik Vestergaard,Yan Valery,Jan Bednarek,Oriol Romeu,James Ward-Prowse,Nathan Redmond,Stuart Armstrong,Danny Ings
2019-01-02,Huddersfield Town,Burnley,,,,,,,,,,,,,,,,,,,,1,2,A,1,1,D,M Dean,9,16,2,8,11,9,5,2,0,4,1,1,Jonas Lössl,Terence Kongolo,Zanka,Christopher Schindler,Florent Hadergjonaj,Jonathan Hogg,Philip Billing,Elias Kachunga,Alex Pritchard,Isaac Mbenza,Steve Mounie,Tom Heaton,Charlie Taylor,James Tarkowski,Ben Mee,Phil Bardsley,Jack Cork,Jóhann Gudmundsson,Ashley Westwood,Dwight McNeil,Chris Wood,Ashley Barnes
2019-01-02,Newcastle United,Manchester United,,,,,,,,,,,,,,,,,,,,0,2,A,0,0,D,A Marriner,14,16,3,7,10,9,1,2,1,2,0,0,Martin Dubravka,Paul Dummett,Fabian Schär,Jamaal Lascelles,Matt Ritchie,DeAndre Yedlin,Mohamed Diamé,Isaac Hayden,Ayoze Pérez,Christian Atsu,Salomón Rondón,David de Gea,Victor Lindelöf,Phil Jones,Luke Shaw,Luis Antonio Valencia,Paul Pogba,Juan Mata,Anthony Martial,Ander Herrera,Nemanja Matic,Marcus Rashford
2019-01-02,West Ham United,Brighton and Hove Albion,,,,,,,,,,,,,,,,,,,,2,2,D,0,0,D,C Kavanagh,13,13,6,6,9,11,1,5,0,1,0,0,Lukasz Fabianski,Aaron Cresswell,Pablo Zabaleta,Angelo Ogbonna,Issa Diop,Felipe Anderson,Robert Snodgrass,Pedro Obiang,Declan Rice,Marko Arnautovic,Andy Carroll,David Button,Shane Duffy,Lewis Dunk,Martín Montoya,Bernardo,Dale Stephens,Jürgen Locadia,Pascal Groß,Solly March,Davy Pröpper,Glenn Murray
2019-01-02,Wolverhampton Wanderers,Crystal Palace,,,,,,,,,,,,,,,,,,,,0,2,A,0,0,D,R East,9,17,1,4,9,7,3,10,4,1,0,0,Rui Patrício,Ryan Bennett,Willy Boly,Conor Coady,Matt Doherty,Jonny,Romain Saïss,João Moutinho,Ivan Cavaleiro,Raúl Jiménez,Hélder Costa,Vicente Guaita,Patrick van Aanholt,James Tomkins,Mamadou Sakho,Aaron Wan-Bissaka,Luka Milivojevic,Cheikhou Kouyaté,James McArthur,Andros Townsend,Wilfried Zaha,Jordan Ayew
2019-01-03,Manchester City,Liverpool,,,,,,,,,,,,,,,,,,,,2,1,H,1,0,H,A Taylor,9,7,4,5,12,7,2,1,4,2,0,0,Ederson,Danilo,Vincent Kompany,John Stones,Aymeric Laporte,Bernardo Silva,David Silva,Fernandinho,Raheem Sterling,Sergio Agüero,Leroy Sané,Alisson,Virgil van Dijk,Dejan Lovren,Andrew Robertson,Trent Alexander-Arnold,Georginio Wijnaldum,James Milner,Jordan Henderson,Roberto Firmino,Sadio Mané,Mohamed Salah
2019-01-12,Brighton and Hove Albion,Liverpool,,,,,,,,,,,,,,,,,,,,0,1,A,0,0,D,K Friend,7,10,0,3,15,5,2,7,0,0,0,0,David Button,Gaëtan Bong,Shane Duffy,Lewis Dunk,Martín Montoya,Dale Stephens,Jürgen Locadia,Pascal Groß,Solly March,Davy Pröpper,Glenn Murray,Alisson,Fabinho,Virgil van Dijk,Andrew Robertson,Trent Alexander-Arnold,Georginio Wijnaldum,Roberto Firmino,Sadio Mané,Jordan Henderson,Xherdan Shaqiri,Mohamed Salah
2019-01-12,Burnley,Fulham,,,,,,,,,,,,,,,,,,,,2,1,H,2,1,H,M Atkinson,11,12,0,4,5,9,2,6,1,2,0,0,Tom Heaton,Charlie Taylor,James Tarkowski,Ben Mee,Phil Bardsley,Jack Cork,Jeff Hendrick,Ashley Westwood,Dwight McNeil,Chris Wood,Ashley Barnes,Sergio Rico,Denis Odoi,Tim Ream,Maxime Le Marchand,Calum Chambers,Cyrus Christie,Joe Bryan,Jean Michael Seri,Ryan Sessegnon,Aleksandar Mitrovic,André Schürrle
2019-01-12,Cardiff City,Huddersfield Town,,,,,,,,,,,,,,,,,,,,0,0,D,0,0,D,L Mason,3,14,0,2,12,14,3,10,3,1,0,0,Neil Etheridge,Joe Bennett,Sean Morrison,Bruno Ecuele Manga,Sol Bamba,Harry Arter,Aron Gunnarsson,Nathaniel Mendez-Laing,Víctor Camarasa,David Junior Hoilett,Callum Paterson,Jonas Lössl,Zanka,Christopher Schindler,Florent Hadergjonaj,Erik Durm,Jonathan Hogg,Philip Billing,Elias Kachunga,Alex Pritchard,Jason Puncheon,Steve Mounie
2019-01-12,Chelsea,Newcastle United,,,,,,,,,,,,,,,,,,,,2,1,H,1,1,D,C Kavanagh,10,9,6,2,6,13,8,5,1,1,0,0,Kepa Arrizabalaga,Antonio Rüdiger,Marcos Alonso,César Azpilicueta,David Luiz,Jorginho,N'Golo Kanté,Mateo Kovacic,Willian,Eden Hazard,Pedro,Martin Dubravka,Ciaran Clark,Jamaal Lascelles,Matt Ritchie,Florian Lejeune,DeAndre Yedlin,Isaac Hayden,Ayoze Pérez,Christian Atsu,Sean Longstaff,Salomón Rondón
2019-01-12,Crystal Palace,Watford,,,,,,,,,,,,,,,,,,,,1,2,A,1,0,H,P Tierney,15,16,6,2,11,11,7,7,1,4,0,0,Vicente Guaita,Patrick van Aanholt,James Tomkins,Mamadou Sakho,Aaron Wan-Bissaka,Luka Milivojevic,Cheikhou Kouyaté,James McArthur,Andros Townsend,Wilfried Zaha,Jordan Ayew,Ben Foster,Adrian Mariappa,Craig Cathcart,Kiko Femenía,José Holebas,Abdoulaye Doucouré,Will Hughes,Etienne Capoue,Roberto Pereyra,Gerard Deulofeu,Troy Deeney
2019-01-12,Leicester City,Southampton,,,,,,,,,,,,,,,,,,,,1,2,A,0,2,A,M Oliver,23,8,6,3,7,9,10,3,2,1,0,1,Kasper Schmeichel,Ben Chilwell,Wes Morgan,Harry Maguire,Ricardo Pereira,Nampalys Mendy,Wilfred Ndidi,Hamza Choudhury,Jamie Vardy,James Maddison,Marc Albrighton,Alex McCarthy,Jannik Vestergaard,Jack Stephens,Jan Bednarek,Oriol Romeu,James Ward-Prowse,Yan Valery,Matt Targett,Shane Long,Nathan Redmond,Stuart Armstrong
2019-01-12,West Ham United,Arsenal,,,,,,,,,,,,,,,,,,,,1,0,H,0,0,D,J Moss,11,11,3,2,7,10,7,3,0,2,0,0,Lukasz Fabianski,Aaron Cresswell,Pablo Zabaleta,Angelo Ogbonna,Issa Diop,Felipe Anderson,Mark Noble,Samir Nasri,Michail Antonio,Declan Rice,Marko Arnautovic,Bernd Leno,Sokratis,Laurent Koscielny,Shkodran Mustafi,Ainsley Maitland-Niles,Matteo Guendouzi,Sead Kolasinac,Granit Xhaka,Alexandre Lacazette,Pierre-Emerick Aubameyang,Alex Iwobi
2019-01-13,Everton,AFC Bournemouth,,,,,,,,,,,,,,,,,,,,2,0,H,0,0,D,A Taylor,15,16,3,7,17,8,5,9,5,0,0,0,Jordan Pickford,Michael Keane,Kurt Zouma,Lucas Digne,Séamus Coleman,André Gomes,Gylfi Sigurdsson,Idrissa Gueye,Bernard,Ademola Lookman,Richarlison,Asmir Begovic,Steve Cook,Nathan Aké,Adam Smith,Nathaniel Clyne,Dan Gosling,Jefferson Lerma,Junior Stanislas,Ryan Fraser,David Brooks,Joshua King
